abpoa,326519.008154819,91550.463354148
am169,351042.396406428,286407.198310132
bono3,495725.032012575,219613.368572448
bvao3,402527.96423762,282892.107527141
cbnc3,361694.316207103,287630.581085371
chaba,277200.865654465,487149.956033519
chnke,342433.523770365,298736.354360332
chnkr,342423.075874961,298762.395683844
coaof,357069.118964989,287180.065936134
coaww,357009.016789947,287151.352905984
csbo3,299817.731648321,-28404.4237609686
dsdma,343201.053575079,290094.61741556
eliot,369617.305970136,292813.600350804
grays,357925.660787106,294760.827803737
hmdo3,343467.555559666,287735.290184539
hmndb,343356.073641797,287525.538136575
jetta,337020.893085114,294841.580897255
lapw1,300257.174296474,480026.636935074
lght2,348810.988564985,284891.439881775
lght6,350445.756103666,283319.004578296
lonw1,419500.88099656,274227.991542913
lwsck,350289.001015258,281632.198579757
marsh,368985.115477159,287756.244419443
nb243,329825.864884087,289602.102280586
nbd29,299852.462793876,280337.345574179
nbd41,288457.798083251,416758.885230556
nbd89,201857.410162764,262362.318095087
ncbn1,344755.709101577,291695.387971134
neaw1,304694.421995631,530344.768590133
nh10,307889.202421416,115682.43040269
ogi01,319445.530339285,271525.182910744
red26,343399.592600389,288055.523659437
sandi,341255.887772119,293569.656044602
saturn01,349653.804277727,290854.351667909
saturn02,329677.520652653,284874.030683524
saturn03,344186.012819253,287164.87642164
saturn04,358251.66154094,287012.059095751
saturn05,402233.074661768,283266.444072255
saturn06,440231.57377443,207958.541377527
saturn07,338788.98955243,297068.851091819
saturn08,463056.429531161,214000.050463032
saturn09,349588.93082076,284350.241298824
skaw1,381616.897445606,293059.262011138
stho3,431418.584273986,246681.750874557
sveni,366522.114675837,284048.38050266
tansy,345771.364144433,285879.952163804
tnslh,380769.268949096,289948.708715829
tokw1,344578.587638075,343561.418859788
tpoin,357463.152460793,287544.695396717
vanw1,440730.47853728,218968.692061731
wauo3,385737.29852386,281235.357528152
wilo3,444370.111258,190127.619743991
woody,375758.411320233,291725.422432522
wptw1,335007.938121046,365864.096558632
